Optimizer,Testfun,ExecutionTime,Iter1,Iter2,Iter3,Iter4,Iter5,Iter6,Iter7,Iter8,Iter9,Iter10,Iter11,Iter12,Iter13,Iter14,Iter15,Iter16,Iter17,Iter18,Iter19,Iter20,Iter21,Iter22,Iter23,Iter24,Iter25,Iter26,Iter27,Iter28,Iter29,Iter30,Iter31,Iter32,Iter33,Iter34,Iter35,Iter36,Iter37,Iter38,Iter39,Iter40,Iter41,Iter42,Iter43,Iter44,Iter45,Iter46,Iter47,Iter48,Iter49,Iter50,Iter51,Iter52,Iter53,Iter54,Iter55,Iter56,Iter57,Iter58,Iter59,Iter60,Iter61,Iter62,Iter63,Iter64,Iter65,Iter66,Iter67,Iter68,Iter69,Iter70,Iter71,Iter72,Iter73,Iter74,Iter75,Iter76,Iter77,Iter78,Iter79,Iter80,Iter81,Iter82,Iter83,Iter84,Iter85,Iter86,Iter87,Iter88,Iter89,Iter90,Iter91,Iter92,Iter93,Iter94,Iter95,Iter96,Iter97,Iter98,Iter99,Iter100
HSSA,F1,0.1839752197265625,292.3487040868427,6.840515726495576e-07,4.178788482302615e-10,2.85964044733971e-90,7.75491053850082e-94,7.75491053850082e-94,7.75491053850082e-94,3.776074053540806e-95,3.5128253937166126e-97,1.0680655075925472e-99,2.436345179910327e-103,2.436345179910327e-103,1.2683519545291007e-104,6.095474341189151e-109,8.223463189030525e-112,1.2932106579583325e-115,2.7638169750846777e-117,4.7911769917654935e-118,1.3805628497542791e-118,4.301812004833608e-140,5.361196746547172e-144,6.499772983215264e-145,4.3936391003865735e-147,3.4423677969115413e-149,3.4423677969115413e-149,1.2077917552033374e-150,6.835780024320984e-152,1.830526938759535e-153,9.620173052640775e-159,3.5951453274676046e-162,1.7026436033380537e-163,8.1811761429585675e-165,6.930696700796667e-168,8.435959972268175e-170,2.4390568214235775e-171,2.4390568214235775e-171,2.3013694542557956e-173,4.385494736633357e-175,3.8771822104956906e-175,2.476248329558207e-177,1.3561440619774934e-178,3.1722625856475076e-181,5.680445323715869e-185,5.680445323715869e-185,4.608544071065635e-187,5.29905928271136e-188,2.654524973899478e-190,2.5518552002531927e-194,6.411065944895608e-195,3.1228293635467296e-196,1.2831141024570962e-198,1.2831141024570962e-198,7.111202344016379e-200,1.8679180849555468e-200,4.404326558899863e-202,1.1425033949675795e-205,2.345848041411675e-207,1.3747192915374655e-208,5.300374373993769e-213,3.109736832720086e-216,7.210202022410683e-218,1.543281893768736e-219,3.403732729966274e-223,6.944291081837413e-226,1.41706444526707e-228,3.341043981085672e-229,2.474882393588918e-230,3.472552963527997e-232,4.798203491720548e-234,2.3359539859655432e-235,5.024047078274471e-237,1.0902495838304005e-237,1.0902495838304005e-237,1.789388073576802e-238,3.651563855922565e-240,3.638872864516874e-266,4.704334279975846e-270,3.223408442487717e-271,5.942960961353164e-272,2.1770826236867663e-275,2.1770826236867663e-275,2.1770826236867663e-275,2.1770826236867663e-275,2.1770826236867663e-275,9.059900737429971e-278,7.382849869213747e-280,8.34486444565327e-281,1.6532270627097107e-281,9.863799264538061e-285,3.4641729500674284e-290,5.835e-321,5.094e-321,1.196e-321,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HSSA,F1,0.19812679290771484,0.06309421729036363,0.002117558256912423,1.8441157192613947e-19,3.937016187672825e-20,2.276306136234448e-20,4.97561005688057e-22,5.0518767833226755e-23,8.157233297047573e-25,3.1844948108050853e-27,6.47467446975934e-29,2.999113540538859e-30,7.172989218918476e-89,2.6746095584554605e-91,4.4248447387637415e-92,3.3511629545368237e-103,4.8289962841816294e-104,2.4973635925844524e-106,1.139070495091623e-107,4.0097751280884696e-111,4.0097751280884696e-111,4.0097751280884696e-111,1.4320531968051577e-111,5.844098198438532e-114,1.458581711894887e-119,3.6993947395192453e-121,6.237450803351925e-123,1.5429482284154638e-123,5.596750796080361e-125,2.295666903548151e-130,8.85954293595814e-131,2.1877606681181538e-132,1.4739946321763212e-135,2.0470867847658442e-141,1.1705249658884495e-142,8.52787581920523e-146,5.585495927564761e-148,1.5243322094642281e-149,1.5243322094642281e-149,1.4182289628803567e-150,1.0642797859012255e-153,4.3816463132426e-156,2.7821540884124033e-157,2.2275975370922874e-164,1.2621508779491268e-167,4.915762224469591e-168,1.1407115496787555e-170,1.1407115496787555e-170,3.0922795721412883e-176,6.292575444930823e-179,2.207888673973421e-180,1.724139226431246e-181,1.7304238316436523e-185,1.5555694766371806e-186,1.419929518796465e-187,4.3806550353530287e-190,1.935694167915961e-191,6.626363076175043e-193,1.1886909332437016e-195,1.737077780823252e-196,4.0895815731904434e-204,1.5923674804390547e-204,3.13884332595306e-209,4.758026851473905e-238,2.736607886388777e-239,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HSSA,F1,0.18734049797058105,541.2298513431859,6.998221278684579e-87,1.5850964159350448e-89,1.6895201704529808e-93,2.028926175528715e-94,5.580760164862045e-95,2.2266605741332075e-100,1.919824806282818e-101,2.241743396031924e-103,8.20872858333622e-105,2.326237515194958e-110,3.500208338698767e-111,4.189972571328002e-112,2.589694695388153e-113,2.0137101064332236e-159,3.0693567785054285e-166,1.274344898891123e-167,2.6523051889219193e-168,2.6523051889219193e-168,2.6523051889219193e-168,2.6523051889219193e-168,2.6523051889219193e-168,2.6523051889219193e-168,2.6523051889219193e-168,3.1830497594038848e-173,8.958802724016634e-175,4.2636810460028204e-176,4.2636810460028204e-176,4.2636810460028204e-176,2.9736051318223408e-176,4.740629525153178e-177,2.3101816485778355e-260,2.3130461180207923e-262,2.3130461180207923e-262,2.3130461180207923e-262,2.3130461180207923e-262,1.1372487451367302e-263,1.1372487451367302e-263,2.383316346124243e-267,1.7359995028972025e-270,6.815706045363783e-272,1.972946400700749e-274,9.152608445674181e-276,8.638331587668692e-278,1.2510622361347732e-282,4.653501929675918e-288,1.9059445768114195e-288,1.9059445768114195e-288,1.9059445768114195e-288,1.166845512585363e-291,1.166845512585363e-291,1.166845512585363e-291,1.166845512585363e-291,1.166845512585363e-291,1.166845512585363e-291,3.4495778425328975e-298,2.9603933471727686e-300,6.007209225917444e-302,1.2511164254601864e-302,2.5882872395397095e-304,1.442890184891218e-307,1.4723178142e-312,2.946465029e-314,3.027760833e-315,1.1345442e-316,3.76656e-319,1.53e-322,1e-323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HSSA,F1,0.1908869743347168,22.69039639385727,1.772172517701319,1.1899673941755492e-14,7.881145977244609e-16,3.1228251429917287e-16,3.359107815857571e-17,6.027658465074993e-19,8.564305726676697e-25,8.978683504105474e-26,1.7135510796744082e-27,3.45161935337712e-89,2.458931173812994e-91,1.375231437093196e-93,4.963373866905851e-96,4.963373866905851e-96,4.963373866905851e-96,6.959549206262501e-98,1.3438805194933601e-99,1.3438805194933601e-99,4.914887527460394e-102,4.914887527460394e-102,4.914887527460394e-102,7.949481693171715e-105,5.404067690188025e-106,5.903076730048397e-110,7.369393278374379e-111,1.498276353360396e-114,9.65238002693823e-117,5.083973039321301e-121,1.822874668125362e-122,7.659340115958929e-124,5.162613452710071e-126,5.162613452710071e-126,3.3889319422344426e-128,2.7648585697908482e-129,2.5012542285661813e-129,1.8641059731002456e-135,1.1653750115057497e-138,3.573825858380352e-142,2.0276263737477773e-143,1.3050085868522313e-144,2.4936621006236918e-145,1.8569776759647076e-146,2.7369876013930433e-148,1.1942412000489175e-151,1.1942412000489175e-151,6.90229646636978e-152,1.4084035474874721e-157,1.4084035474874721e-157,1.4084035474874721e-157,9.657542988857127e-158,1.6144479151861918e-159,3.3795144228006346e-165,4.828930094333805e-168,5.932189690315879e-243,1.8485108482305892e-243,4.47593164e-315,1.38463725e-316,2.131503e-317,1.1739e-319,1.186e-321,1.5e-322,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HSSA,F1,0.18355774879455566,0.00024116302388341165,1.3905832702051965e-05,1.1586616121340922e-08,1.1586616121340922e-08,1.5157870943472512e-90,8.620473950866567e-92,1.2438687925016148e-92,1.1990399737156853e-95,2.3560487196355646e-98,2.3560487196355646e-98,3.998065440896906e-99,6.714343034920072e-100,6.64490581024686e-114,5.843178463134947e-118,1.715089737575475e-120,1.2622502701686502e-123,5.750809334686525e-140,7.709484021706842e-147,4.228465507501319e-151,8.70773782008456e-153,1.7810801846866192e-153,1.556420421009378e-155,9.642583455622867e-157,4.558811793118633e-159,4.558811793118633e-159,2.55279624464502e-159,3.687906720214741e-161,3.687906720214741e-161,2.8264283937205494e-164,2.8744869697399953e-165,2.8488994392728447e-165,1.3090463854319278e-167,2.7897256284323834e-169,6.359854091394504e-170,5.7713412380478995e-173,8.784769244796703e-177,1.0868931188955614e-177,4.8473158527854643e-179,1.5275051092769232e-179,3.0915355686107566e-181,3.0915355686107566e-181,3.0135580671172266e-182,2.5136286074954847e-184,2.405270569945494e-190,5.512313425232276e-191,1.3981510909018127e-191,8.627336248838986e-194,7.910328089164445e-196,1.6524547803166377e-197,1.7184374753096687e-198,4.261112318495634e-203,4.261112318495634e-203,4.261112318495634e-203,4.261112318495634e-203,4.261112318495634e-203,7.156277669059607e-204,4.839435374910639e-205,1.290701398045209e-206,1.2070158176405728e-207,5.158930476363534e-208,2.3068324692007047e-210,2.3068324692007047e-210,2.3068324692007047e-210,1.1544203648471667e-210,4.99253302516199e-213,1.526079059555213e-213,9.634049712696751e-215,5.241629106832399e-216,5.241629106832399e-216,1.6598654138558794e-218,4.430241978724527e-220,4.430241978724527e-220,3.4279083188495272e-220,3.4279083188495272e-220,5.867473995287977e-224,6.568514139329535e-225,3.552296675868294e-226,4.320676827911389e-227,1.1621750581243096e-231,4.6243341761460006e-232,1.466152725821962e-238,1.701998037753757e-244,1.68224935951522e-251,2.294201650414891e-252,7.7946836622897925e-255,1.3440582091890196e-257,1.3365100438949688e-259,1.3365100438949688e-259,7.216845080116446e-262,1.5580890094427827e-263,7.734443309132384e-266,7.734443309132384e-266,4.390129769037279e-266,3.687463877669865e-268,3.0751629595130986e-273,3.673855441481461e-275,3.936807619881026e-277,4.95902720150827e-278,8.491309147168334e-280,7.50689809182397e-282
HSSA,F1,0.18583083152770996,171.30904193584055,1.4435030654550148e-37,1.4435030654550148e-37,3.525518765276325e-39,1.9978011144903993e-91,1.3767031054637345e-92,1.4378401659133483e-96,1.2681839196113382e-98,1.7042305078117535e-100,1.7042305078117535e-100,3.094429063501827e-103,3.094429063501827e-103,3.094429063501827e-103,3.094429063501827e-103,7.989771123074309e-244,7.553930770686117e-246,1.5253940126608653e-247,4.969948655651571e-249,8.541443831281615e-251,1.103384676254873e-251,2.101641288248945e-252,2.101641288248945e-252,4.5021377021219756e-254,2.078235602264146e-256,4.699771374684799e-260,6.065246342866938e-262,4.673478799154561e-263,8.710506037241648e-265,7.317720407201752e-267,5.242726255549266e-268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HSSA,F1,0.1859571933746338,7331.776278499942,300.1452417366476,0.3920172289167166,0.0012727064053382371,4.573162869446222e-89,9.078935586227024e-91,1.1352475140454083e-91,1.4382868899826207e-94,1.4382868899826207e-94,1.291097615787127e-94,1.7679549776350997e-96,5.347080283453042e-98,4.282534928616254e-103,5.748975249205374e-104,3.629545749723668e-105,8.21594363055303e-106,7.02354999853468e-109,1.6456543146767524e-110,5.262026415627771e-114,7.683527851303153e-116,5.9047153088383005e-117,1.6400573148521635e-120,1.9681831943119595e-121,5.902079320730589e-123,1.052795969145479e-127,4.726593231281906e-128,1.3114730101108388e-135,5.712023626748367e-137,1.5620143716971613e-148,1.5620143716971613e-148,2.0904174396071732e-162,4.683305614914202e-163,5.906578616819477e-164,1.2861909344234987e-164,1.1657207488125098e-167,5.878261529578641e-169,6.153891172401951e-171,2.1923694675016704e-173,3.9764779015067445e-175,2.82095705762093e-178,1.0580287387543363e-179,6.8223080249119215e-183,6.8223080249119215e-183,3.4344156533817953e-183,3.4220584435449996e-185,8.688331237139412e-190,1.3097057626419893e-192,4.09561100454225e-193,2.531871604870504e-195,2.989748263760376e-197,1.228723627187368e-201,1.68586831705285e-204,1.68586831705285e-204,1.2231316758786219e-207,9.935683014067028e-209,1.054562533207705e-210,1.8233189258424772e-211,6.458540388702314e-214,6.458540388702314e-214,8.198919133945803e-233,1.0006989059310153e-235,1.207174073513848e-238,1.207174073513848e-238,2.2868697803725866e-239,9.353733695249751e-241,1.5976845525196957e-244,2.7248296120602886e-245,2.2017206485627232e-253,2.2418500088211893e-254,2.939236355408682e-256,5.315072733184504e-259,2.487280613174466e-261,1.3811324215074217e-263,2.3794424900503743e-264,2.7039965755278614e-266,4.024348555578747e-270,2.5987909955047163e-273,2.033934480347704e-275,5.918981978127303e-277,9.808488598063988e-279,1.0001616615935125e-281,4.6008459057063227e-284,7.786729529530485e-286,3.0902173925403543e-287,3.0902173925403543e-287,7.675293061133382e-289,7.675293061133382e-289,1.1277089855597769e-291,4.2183776995170096e-294,9.71966213718319e-297,2.5334616380257125e-299,4.4103285770908e-310,1.365817239e-312,3.4836027889e-313,1.13744445e-315,5.347574e-317,3.22526e-319,0.0,0.0,0.0
HSSA,F1,0.20989179611206055,12.842787631719885,3.448120260488681,0.164718776912057,0.00024658990389726993,3.553183691434796e-06,2.3960030561364646e-10,1.6335358447960728e-12,7.982147071559611e-13,7.982147071559611e-13,2.3031783880594503e-15,2.3031783880594503e-15,2.3031783880594503e-15,2.3031783880594503e-15,2.3031783880594503e-15,2.7402757998790703e-17,2.67235393084208e-19,4.865526678095825e-20,3.0191287879721695e-23,4.440797235817185e-25,2.4430308110426088e-27,2.468842148539853e-29,1.7991861226625833e-31,6.511704288741138e-33,2.585560375791945e-34,2.585560375791945e-34,9.23266530313383e-36,6.129849612760417e-38,6.8701321744038e-41,1.2143634889713817e-44,1.1188839456635558e-45,1.9708828257884735e-46,6.848087918586448e-49,7.006167589354882e-51,2.1554645803851655e-51,2.1868545175123e-56,3.805656046252107e-59,3.805656046252107e-59,1.703502630019607e-88,6.209709500687855e-92,8.047964951893912e-97,1.7465202254784806e-99,1.4001421791835062e-100,8.740932291755359e-103,3.875364648042298e-105,3.5997063457598804e-106,3.610308314380015e-108,2.4306949276312167e-109,2.4306949276312167e-109,6.463421057831902e-112,6.463421057831902e-112,6.463421057831902e-112,8.218099970822614e-114,2.428610763450594e-115,3.520836012657636e-116,6.897543932739102e-117,5.49479573129716e-119,4.82916146556105e-121,4.82916146556105e-121,9.15988125832117e-124,1.5096533326418739e-127,2.3619785678641368e-130,1.4885355609317135e-131,4.5652606871372616e-144,1.038905346612247e-146,9.522647091188727e-149,8.586909519014322e-151,2.650287953431754e-152,3.2889205094867293e-153,5.393272552179525e-154,1.620886363030584e-154,5.828124325940516e-156,1.8465464276807193e-157,1.7721124737944562e-160,4.258119658251936e-164,5.235698415202818e-165,2.2583147200957075e-165,1.0701066015764977e-167,4.05122493518851e-172,6.990885651651574e-174,1.0920431819655385e-174,2.553549991352697e-178,2.553549991352697e-178,4.9303908307985235e-186,4.9303908307985235e-186,8.024182356569896e-189,5.4210187422934783e-191,4.729838835642528e-199,6.950936249873243e-201,2.8806749074681764e-202,2.2271739314316737e-204,3.8064599814150786e-208,3.381201113428347e-210,2.428580323530249e-211,6.85021048475419e-216,1.0309657072197273e-218,5.195124752344354e-233,2.899256887571702e-234,1.4454707251973563e-236,1.3626662582552562e-237,1.4245547785407335e-288
HSSA,F1,0.22295022010803223,95.92787275382973,6.659868512955677,0.0011085258001947483,2.131957272289876e-06,3.978372257321323e-09,3.978372257321323e-09,3.978372257321323e-09,2.520179247660285e-11,1.1736504144795949e-13,1.785855592196709e-15,1.785855592196709e-15,1.785855592196709e-15,4.6466105393191607e-17,1.5774126719350616e-19,5.264762711574897e-21,6.938741818497956e-23,4.804462058687795e-25,2.7643433619730414e-26,2.191919014404106e-28,2.5503723688665587e-33,9.066432319346273e-35,3.1438762969244664e-39,2.0765809374584753e-40,1.1572171336283572e-41,8.825142783229165e-44,2.020976336793299e-44,3.788504038304742e-46,1.6049193254206383e-47,6.828479140594526e-49,1.579660286544731e-50,1.203834759130416e-52,8.175327641349928e-53,1.8917488980013598e-54,1.5462483286488084e-58,1.8048499980170274e-60,2.1296781618690662e-63,2.857586354044805e-64,1.004720284125546e-65,5.574002163177872e-68,5.574002163177872e-68,1.7150622054478587e-70,9.745176613771965e-87,3.3329519692941663e-94,6.616952360083887e-101,1.5559359922990622e-104,5.459685345877637e-106,2.8287044703975603e-111,2.118235835220143e-113,2.118235835220143e-113,2.118235835220143e-113,4.783034615741076e-115,1.8417298815133693e-116,3.615646779703291e-119,8.90044500519441e-120,3.020110791202596e-121,9.756201362760724e-123,2.7625918317862963e-125,5.002419332502582e-127,1.4893098061609453e-128,2.1952538363235075e-129,1.3387839430588325e-131,4.3132829691825214e-134,2.2810182938502047e-135,2.4731691408976395e-137,2.1472990792719497e-138,5.1758636789808266e-141,1.027306748763761e-141,8.275769031338102e-147,9.668935008251161e-148,1.5074676398723536e-149,1.5074676398723536e-149,4.1518764825419046e-153,1.6757302916356255e-155,1.6757302916356255e-155,1.682100176412183e-156,8.414109723685859e-159,1.0612783458716855e-163,1.0612783458716855e-163,5.648907495734928e-166,3.074088858239923e-166,1.690256767899914e-169,1.8067418193954573e-173,4.227584342249896e-178,4.227584342249896e-178,3.111835115619431e-178,5.066929210791513e-180,1.2268860547142586e-181,2.363904940933982e-183,2.0532841975936896e-185,1.4818471497794464e-186,7.570257489507234e-189,6.8174363014739e-224,7.975185337488338e-228,9.617554871285775e-230,5.797855660399834e-231,2.982921701433983e-233,5.1651895802113056e-235,3.7101035151344036e-236,2.055326764776019e-240,1.0072351896720426e-240
HSSA,F1,0.18471837043762207,160.41922940084143,6.839660206576463,0.12259666023254132,0.000233117555186268,7.757603380425897e-07,3.9002318026653284e-08,5.094453076560051e-10,4.646567180911079e-30,2.0962253539927516e-31,4.260405789047211e-33,4.447853624100685e-34,9.204996503148764e-39,3.011721831563336e-87,1.2240150786650987e-88,5.055029400403357e-90,1.9317473942925324e-91,5.573437929353695e-94,3.462878078004776e-94,3.288759615495394e-95,7.774285921599285e-96,4.457093636117893e-100,7.327793777771265e-101,3.201399747870107e-102,8.331561849536357e-104,3.00503932147441e-105,2.3204775498340693e-106,1.5496773401174035e-109,6.457058391443437e-112,2.5323365496282345e-118,7.791553476123744e-119,6.228083377210853e-121,6.170753312691396e-124,1.0179004785926776e-125,1.193593537134829e-127,7.586270424299221e-137,9.19816487037867e-141,1.2923897330868707e-141,5.307569599598014e-144,5.499920106645747e-147,1.240303929420107e-148,4.6204349907747636e-150,1.6481918857673067e-150,1.823055020072273e-151,4.820689611342932e-153,4.820689611342932e-153,9.900422209514044e-156,6.6765808182963e-157,2.7440107356877203e-158,3.619189042667773e-161,3.7307474269040906e-165,4.44109141452352e-167,4.44109141452352e-167,5.439772151081813e-171,5.439772151081813e-171,1.2472726781983937e-173,5.864485790041694e-176,3.0466811686582466e-177,7.540048566974502e-179,5.889732868933361e-179,3.171515848524325e-180,3.301456718973619e-184,3.301456718973619e-184,3.301456718973619e-184,3.301456718973619e-184,3.301456718973619e-184,8.03200817766313e-188,8.03200817766313e-188,8.03200817766313e-188,4.733426831946586e-189,2.074156130966146e-194,8.4191050293862485e-196,2.19633202858466e-197,3.710269772783712e-198,2.0946474910653423e-199,1.570548749309907e-200,2.1748880049469275e-205,8.008341211395244e-206,3.553805337871724e-209,1.186635287163883e-210,8.777590320345098e-215,8.777590320345098e-215,8.777590320345098e-215,8.954438828181675e-216,2.0664195023117244e-217,2.7208387595162308e-220,9.276409149626744e-221,1.565411819689965e-222,2.603342617457208e-224,1.4134648300975298e-225,2.033189716922295e-231,2.033189716922295e-231,3.2110253024156133e-233,1.4567198558305502e-234,8.189294401342644e-236,1.745454265913353e-238,2.211901194615029e-239,1.5615945898534228e-241,4.855350552632474e-244,7.530895762738544e-245,7.46165292685744e-247
