Optimizer,Testfun,ExecutionTime,Iter1,Iter2,Iter3,Iter4,Iter5,Iter6,Iter7,Iter8,Iter9,Iter10,Iter11,Iter12,Iter13,Iter14,Iter15,Iter16,Iter17,Iter18,Iter19,Iter20,Iter21,Iter22,Iter23,Iter24,Iter25,Iter26,Iter27,Iter28,Iter29,Iter30,Iter31,Iter32,Iter33,Iter34,Iter35,Iter36,Iter37,Iter38,Iter39,Iter40,Iter41,Iter42,Iter43,Iter44,Iter45,Iter46,Iter47,Iter48,Iter49,Iter50,Iter51,Iter52,Iter53,Iter54,Iter55,Iter56,Iter57,Iter58,Iter59,Iter60,Iter61,Iter62,Iter63,Iter64,Iter65,Iter66,Iter67,Iter68,Iter69,Iter70,Iter71,Iter72,Iter73,Iter74,Iter75,Iter76,Iter77,Iter78,Iter79,Iter80,Iter81,Iter82,Iter83,Iter84,Iter85,Iter86,Iter87,Iter88,Iter89,Iter90,Iter91,Iter92,Iter93,Iter94,Iter95,Iter96,Iter97,Iter98,Iter99,Iter100
SSA,F1,1.5571653842926025,0.0,21560.701380657065,13254.882904491013,11129.03921491152,10265.049773534929,9381.617653034134,8502.12456459397,7935.575702590587,7518.394975610411,7156.26046334373,6889.3537745542235,6680.465001993961,6452.426388772924,6233.1230569892505,6043.424861734087,5913.722488998364,5877.659921746281,5877.659921746281,5877.659921746281,5877.659921746281,5877.659921746281,5877.659921746281,5877.659921746281,5877.659921746281,5877.659921746281,5877.659921746281,5877.659921746281,5877.659921746281,5877.659921746281,5877.659921746281,5877.659921746281,5877.659921746281,5877.659921746281,5877.659921746281,5877.659921746281,5877.659921746281,5877.659921746281,5877.659921746281,5877.659921746281,5877.659921746281,4685.005141205598,4503.008219033705,4337.362050536187,3910.3450321875007,3385.968589832459,2772.5741685798125,2529.916256613257,2378.8126194746983,2021.9028095761632,1648.3363407688914,1343.8255800041707,1186.6273171430837,1046.6437973345567,983.4189568685882,905.2098165672261,821.4793243188201,749.7513172186725,715.341096115788,647.9044122951221,628.992113895465,598.3668741227601,580.2240827793653,557.4397310616986,544.6246739423839,529.8641858119421,518.8731684937659,510.1316129979889,502.70719494567925,494.1944374396683,488.0253642807371,483.19654637712097,480.1994582108916,476.60436632187697,474.9027280154731,473.3393676673856,472.7379607111808,472.1215738519156,471.4708390998642,470.8981647701073,470.53800356655387,470.1001934735586,470.0072803024748,469.8932351611088,469.77902082102725,469.5760344150714,469.46894848019423,469.42491552211413,469.3608486367572,469.3250944217731,469.2771636912079,469.2491517409642,469.2342531938311,469.22594844334304,469.2182415631686,469.2139571936398,469.20980011810036,469.2063760189318,469.20353094020095,469.2013237724221,469.19965631427215
SSA,F1,1.7794647216796875,0.0,22882.954727723612,10035.849767998749,7494.361721227625,6226.736871898543,6151.1160056193785,5922.641140177277,5714.927792322554,5583.624925673931,5458.925069156325,5329.555380259776,5289.2146610518785,5289.2146610518785,5289.2146610518785,5289.2146610518785,5289.2146610518785,5289.2146610518785,5289.2146610518785,5289.2146610518785,5289.2146610518785,5289.2146610518785,5289.2146610518785,5289.2146610518785,5289.2146610518785,5289.2146610518785,5289.2146610518785,5289.2146610518785,5289.2146610518785,5289.2146610518785,5289.2146610518785,5289.2146610518785,5289.2146610518785,5289.2146610518785,5289.2146610518785,5289.2146610518785,5289.2146610518785,5289.2146610518785,5289.2146610518785,5289.2146610518785,5289.2146610518785,4799.009622889449,4360.545277303965,3351.108906092979,2353.5297077714445,2159.185049965605,2032.7782531716787,1673.9996709825434,1476.7964937382433,1441.877983676942,1353.6101649004322,1184.2639024879265,1099.092682368179,1025.7109260660209,882.7158559881645,792.9267649807317,702.7011725798934,614.5583016232745,590.6862423590688,553.3670656829449,520.8862490047256,484.58029925956953,471.01198987622814,447.52113866462093,437.39265810740557,417.60979531503165,408.7625828548417,401.69255347473484,397.0971373670349,393.7665744331274,389.8079655205556,386.78814549199143,384.11236801203796,382.89356366322517,381.3096480356628,379.86130267444184,378.5325312955285,378.01655417223344,377.43673920091726,376.6494684286852,376.2997680630144,375.997385546352,375.6237009609325,375.45123906757635,375.30321274713066,375.2275160763788,375.13379158139907,375.0951832592618,375.0384475098558,375.00974552399884,374.9795020185754,374.9662205888719,374.9453059092754,374.93408639522244,374.9279997969537,374.92119166554073,374.91604678893515,374.91240715585127,374.90936202673834,374.9077990751087,374.90642294594653
SSA,F1,1.9758081436157227,0.0,22969.008042280366,14578.36353817169,10442.613197607088,8695.948454446949,7973.645722966198,7211.428593617418,6720.412188446128,6329.165822365744,6033.558390262463,5799.491580207025,5614.706829093876,5465.084589628161,5342.059519008073,5213.571980179856,5076.580014115001,5076.580014115001,5076.580014115001,5076.580014115001,5076.580014115001,5076.580014115001,5076.580014115001,5076.580014115001,5076.580014115001,5076.580014115001,5076.580014115001,5076.580014115001,5076.580014115001,5076.580014115001,5076.580014115001,5076.580014115001,5076.580014115001,5076.580014115001,4733.640039555988,4733.640039555988,4733.640039555988,4733.640039555988,4733.640039555988,4733.640039555988,4733.640039555988,4164.628564114318,3478.2853391762205,3352.5891970915977,3352.5891970915977,2954.738000625334,2786.147193462404,2786.147193462404,2664.949947812264,2358.0575844892337,2182.4224832591744,1925.2450773543885,1733.7462244818614,1584.9572217488865,1483.7868406541024,1266.941061009947,1188.3300612037397,1097.242505914829,1050.3304734220471,988.7664945604857,949.5576337930763,910.5642307450953,883.4121973576432,847.1503591492658,816.9418893227103,803.0711298372222,788.5224839832272,774.9236442111156,767.820149155928,760.1348101493518,753.3970770856303,750.0502649788026,744.829810160382,741.167408321946,738.1047596824415,736.3646280760366,734.8904889999636,733.5918338162082,732.8189712310078,732.1979369190943,731.6475690050527,731.3628536149253,731.0185840294711,730.6613492528417,730.5530336379328,730.4197823055081,730.3333582904971,730.2296296378034,730.158918127702,730.112738024176,730.0810186442774,730.0526096338159,730.0221025066461,730.0061624348598,729.9963853519454,729.9889229024733,729.984105276463,729.9802057393377,729.9754068836793,729.9727857816571,729.9707726355887
SSA,F1,1.6947762966156006,0.0,22990.296482631184,10161.298705507857,10161.298705507857,9972.302445039875,9102.893268292286,8447.622292311098,7893.743476447278,7441.495209908251,7068.0989025757535,6835.268156314425,6759.57626251974,6758.41082926162,6758.41082926162,6740.407934676106,6691.7521424462275,6658.817914164304,6658.817914164304,6658.817914164304,6658.817914164304,6658.817914164304,6658.817914164304,6658.817914164304,6658.817914164304,6658.817914164304,6658.817914164304,6658.817914164304,6658.817914164304,6658.817914164304,6658.817914164304,6658.817914164304,6658.817914164304,6658.817914164304,6658.817914164304,6658.817914164304,6658.817914164304,6658.817914164304,5882.392467649634,5335.501201318598,5335.501201318598,5335.501201318598,5199.839169869814,4380.788324464301,3878.7889261173905,3055.820058103181,2745.200951775777,2377.7515899671953,1749.3280970148223,1451.7055935828685,1384.5219804879994,1246.0984575185262,926.5527629923708,848.4295903893099,820.8093920338763,719.8690938378854,693.4481208668996,638.1661511868672,584.3004300451665,550.3654083880245,499.5748414319853,465.92137562580047,449.5658910326163,435.9111110196366,425.6003373294907,410.1745240804546,403.1746349919928,394.3776775872429,386.72125333574695,382.3595700830146,378.24439674865044,373.5263142967971,371.61290682371526,369.2926420443149,367.57191703511035,366.8407060599975,365.7209314567918,364.755050110646,364.0766766430773,363.4726084352818,363.0132722646796,362.66372899779003,362.3857758574569,362.22234398592343,362.1047338375981,362.0279799842039,361.93115767116126,361.876107326118,361.83081475999956,361.7792286581169,361.7498977502198,361.7269754144242,361.7087624316801,361.69831561740926,361.6921750734554,361.68664046237615,361.68232314908914,361.6788238923618,361.6757176429497,361.67443608807895,361.6730272534992
SSA,F1,1.5482027530670166,0.0,23269.040644133263,13743.02538549357,10617.463141567221,8660.82514336589,7620.482720378326,6990.361647049189,6536.43666690264,6258.3783899641485,6082.176564224922,5963.303289248433,5881.34215304242,5813.285775964201,5757.295862314496,5717.507711360686,5687.311445713269,5662.200916738165,5662.200916738165,5662.200916738165,5662.200916738165,5662.200916738165,5662.200916738165,5662.200916738165,5662.200916738165,5662.200916738165,5662.200916738165,5662.200916738165,5662.200916738165,5662.200916738165,5662.200916738165,5056.140765182682,5056.140765182682,5056.140765182682,5056.140765182682,5056.140765182682,4614.7947679623285,4614.7947679623285,4614.7947679623285,4614.7947679623285,4230.408531633656,4078.375745150046,3534.616587790183,3081.8238003334177,2540.761830150574,2519.4254410597696,2301.2614581767752,1887.2641305610905,1704.0970197011222,1541.102345667083,1413.7812879731216,1222.6681194648675,1094.803258750117,994.414481796697,904.5934714982401,841.7799704964017,730.8583813528952,678.2716404008304,661.8581924967407,628.4865937362454,598.5669916443513,557.7236084400453,542.9129732044969,513.0172717507031,494.6176187351339,477.14622459446764,467.34097920190135,459.46553530385694,453.575415055607,447.5600953028977,443.0109372556889,438.9397085059233,436.28353358066414,433.3880496407078,431.4157638151418,429.6298267540605,427.7173995002344,427.27823490573996,426.4146928146307,425.98009440798745,425.72473782783425,425.3629464325081,425.1772531051853,425.0744340623831,424.9476272543807,424.76826210467686,424.67406288639427,424.61854508987795,424.584922276179,424.5456114981935,424.5161881511501,424.49852446978946,424.4826001197959,424.46779983111406,424.4607739826101,424.45380887173127,424.4477774537191,424.4442976457772,424.4420907650864,424.43947075207336,424.4386267444917
SSA,F1,1.5745222568511963,0.0,28122.634586211363,14005.58235551604,11002.03374051931,9599.23208554744,8836.493768949964,8423.007141725071,8086.981754988824,7730.5969041621365,7389.377568337724,7007.730531778158,6673.279971376232,6403.968241770327,6182.945671356513,5989.608606429888,5795.536650246902,5623.89376939675,5470.77071465014,5462.5873443150695,5462.5873443150695,5462.5873443150695,5462.5873443150695,5462.5873443150695,5462.5873443150695,5462.5873443150695,5462.5873443150695,5462.5873443150695,5462.5873443150695,5462.5873443150695,5462.5873443150695,5462.5873443150695,5462.5873443150695,5462.5873443150695,5462.5873443150695,5462.5873443150695,5462.5873443150695,5462.5873443150695,5462.5873443150695,5462.5873443150695,4966.6526467727,4966.6526467727,4720.373107370575,4428.800542577887,3841.6891422534723,3798.559123279626,3083.324848709613,2889.360396347777,2381.292664493397,2047.1394320260367,1800.044128209446,1571.7066324058787,1313.7605643239867,1163.0729731393865,1067.0246273235744,967.1618964219538,854.6134913650322,805.5332745968321,702.6958307012499,667.9561094620798,629.6378487498097,604.6319296078118,573.764124348072,552.1288540391697,532.2397973667772,520.4052606326211,504.94223258132865,492.61501035282595,484.4730982878091,477.27572648593895,471.6788398985507,466.9263355896508,463.21312107053564,460.6582201477445,459.10044417205586,457.3433410729119,456.18183808755566,455.13955036517103,454.48235638461045,453.8855560722277,453.39332866524217,453.05992255386195,452.78696930913367,452.6292994433465,452.4771098268038,452.35508823406116,452.2416823578992,452.184869809781,452.1104427575837,452.0664619060424,452.0317145382146,452.0120461654985,451.9995563168358,451.9831091898014,451.9727254325251,451.96726549582127,451.960907059939,451.9565780889747,451.95397181050714,451.95156860896054,451.9505090481268
SSA,F1,1.616361141204834,0.0,19995.78740301276,8670.858532115692,8670.858532115692,8670.858532115692,8160.074539470313,7313.401107273163,6586.612761864667,6065.70992149416,5659.339416336397,5348.150092531258,5103.728225065396,4906.022031083202,4742.089636184389,4604.634600128443,4489.335042260847,4392.988052724332,4392.988052724332,4392.988052724332,4392.988052724332,4392.988052724332,4392.988052724332,4392.988052724332,4392.988052724332,4392.988052724332,4392.988052724332,4392.988052724332,4392.988052724332,4392.988052724332,4392.988052724332,4392.988052724332,4392.988052724332,4392.988052724332,4392.988052724332,4392.988052724332,4392.988052724332,4392.988052724332,4392.988052724332,3863.613360166413,3863.613360166413,3863.613360166413,3863.613360166413,3636.876846041026,3138.8761888278764,2612.979198080039,2119.5369209741584,2119.5233435809996,1928.7944106630991,1790.1517831809604,1542.646844873035,1356.0846364939548,1230.0493992556264,1056.172654583086,878.6715803499511,759.6382661269289,716.5057387829997,667.067898207689,620.0481319050875,568.4447652226642,532.6412418649046,508.7375806055097,482.77679060611655,464.70625877815667,456.10359416089506,440.2536151086473,432.98897086722286,426.02109455183984,417.2504504171106,413.6801634028747,409.07102131885927,405.8245272192338,403.0093584069416,400.67847241894464,398.7623887237948,397.37629236950437,396.5760222487891,395.61657788602116,394.9677304212294,394.4817775943291,394.0271973136656,393.53318435333716,393.27279345313553,393.11739027201264,392.9880578152327,392.9107088572028,392.81732697869586,392.7465794807466,392.7241690460802,392.6958520876849,392.658296736852,392.6376383358345,392.62410781371403,392.6155701639851,392.60908807810733,392.60360153258017,392.59746077044133,392.5954132393796,392.5937175044673,392.5915899885862,392.58977023720183
SSA,F1,1.6273083686828613,0.0,22657.007817119567,11462.828783326604,8094.776017719284,6594.055182102536,6030.7442183872545,5632.866582726507,5263.2540070491095,4983.348553556316,4773.039716326457,4602.609942338905,4421.804311343324,4264.725599965522,4192.796558549035,4192.796558549035,4192.796558549035,4192.796558549035,4192.796558549035,4192.796558549035,4192.796558549035,4192.796558549035,4192.796558549035,4192.796558549035,4192.796558549035,4192.796558549035,4192.796558549035,4192.796558549035,4192.796558549035,4192.796558549035,4192.796558549035,4192.796558549035,4192.796558549035,4192.796558549035,4192.796558549035,4192.796558549035,4192.796558549035,4192.796558549035,4192.796558549035,4192.796558549035,4192.796558549035,3452.170727808634,3452.170727808634,3006.5621701128266,3006.5621701128266,3006.5621701128266,2680.0493546675007,2281.3849139146164,1973.1049995817252,1785.4455662034468,1586.8777355936447,1332.7569267196454,1139.5611254197536,928.2299265158765,799.459881087554,676.7350627319057,633.7404749374938,582.4347080341312,538.6447111231558,488.2616058234354,453.4278478046811,414.2726910016831,387.3650363057292,365.27049859648275,355.6112993446864,343.1112358024095,332.84257636316767,326.3417537658676,321.974628700579,316.62538286678995,312.34238195345296,309.68227280035546,307.48347411377,305.4538141408368,304.1394370956903,302.8931770548766,301.92809624442356,301.4201978431808,300.75495351934796,300.05798057111025,299.5739186271666,299.38601592212495,299.0972826503713,298.93189619136155,298.8158679742216,298.7131000255207,298.65954829567806,298.5860871013898,298.5412677959316,298.5142058129142,298.4895820770795,298.46903102384965,298.45401847144353,298.44434863583484,298.43852935415913,298.43083335631485,298.42646625309743,298.4236083613449,298.4217460359436,298.4205160917304,298.41939513816845
SSA,F1,1.517516851425171,0.0,24176.748741051942,11473.217498645734,8587.5628526796,8059.4396800922395,7827.7907869195815,7827.7907869195815,7549.067263336956,7006.698194833283,6622.080341086705,6317.069859865745,6057.594166930929,5813.826361314788,5706.29550688653,5702.987238966615,5702.987238966615,5702.987238966615,5702.987238966615,5702.987238966615,5702.987238966615,5702.987238966615,5702.987238966615,5702.987238966615,5702.987238966615,5702.987238966615,5702.987238966615,5702.987238966615,5702.987238966615,5702.987238966615,5702.987238966615,5702.987238966615,5702.987238966615,5702.987238966615,5702.987238966615,5702.987238966615,5702.987238966615,5702.987238966615,3887.470441186723,3540.264312532133,3540.264312532133,3261.64008766381,3261.64008766381,2847.1161673479696,2847.1161673479696,2333.9512274591475,1650.8100647623394,1420.1522880188302,1229.8926674988984,1189.724556826368,861.0415593479606,780.9027570684051,715.7542227691329,653.7586250298032,566.3439167234693,505.54020367891894,435.1182658241661,404.3159580749279,365.5417873201375,331.1082480710948,313.3318000026139,294.2286926652863,277.18393141296997,258.7597241285909,245.0631921518735,236.16856769786278,231.35516526144679,225.340378027329,220.16296792453684,215.37068218243016,211.12593965778487,207.61905094108377,205.87898556883954,204.10049861851775,202.16427225758852,201.0908522966766,200.4117239531113,199.5153974449351,199.06136733397594,198.82087028989022,198.51370815840778,198.22544336913992,198.10320212936708,198.01199782431755,197.93420592394546,197.87266692666762,197.82148282552728,197.78480274525424,197.74826660400947,197.72272813054042,197.6910524009776,197.67540453263496,197.6634234191363,197.65628408187655,197.64966963386192,197.64615054833448,197.6413917963616,197.6385488431244,197.6368658833732,197.63562965434437,197.6348643650168
SSA,F1,1.5390934944152832,0.0,24173.46997347483,13343.80229986427,10077.311136837292,8398.410334982122,7340.959283617741,6521.771259997203,5959.546648526115,5549.163799802155,5204.5581280061,4983.8000378506595,4952.776680311234,4952.776680311234,4952.776680311234,4952.776680311234,4952.776680311234,4952.776680311234,4952.776680311234,4952.776680311234,4952.776680311234,4952.776680311234,4952.776680311234,4952.776680311234,4952.776680311234,4952.776680311234,4952.776680311234,4952.776680311234,4952.776680311234,4952.776680311234,4952.776680311234,4952.776680311234,4952.776680311234,4952.776680311234,4952.776680311234,4952.776680311234,4952.776680311234,4952.776680311234,4952.776680311234,4952.776680311234,4952.776680311234,4565.769212859128,4565.769212859128,3989.1424354658375,3590.0766161593606,2866.7454754997334,2587.828378275317,2217.2991872501166,2051.939137822986,1867.4203038841918,1692.3941453493337,1443.6014203287643,1284.9597063705392,1138.2629470521583,1009.3753592888576,913.4626137644759,845.2719479897961,772.8511549370025,717.6638189847757,665.5882100121564,631.9762716580468,595.1554766954752,577.4261406906727,558.7578804539457,539.9360840490078,518.2823888466083,504.1427238030055,494.9640585609181,487.9962558487045,482.66301308840116,475.902475813917,471.7184773097388,469.36845152101944,467.58580162929763,466.2422932543632,464.143352585539,463.3348394441691,462.42013211825656,461.6522771249282,461.2213775171556,460.5246461642572,460.25201847172934,459.9910280789313,459.6651895587059,459.561864338473,459.46200364697177,459.3473481605268,459.26473458090965,459.21929825341624,459.18811076003533,459.1566921617154,459.1315554209141,459.110292795338,459.10094835038075,459.0857808946145,459.07898692246346,459.07443067168316,459.07082046836894,459.067385500343,459.0644621573545,459.0627519203362
