x,y
381448.1024,4198818.917
381386.2717,4198788.366
381449.4115,4198692.442
381411.4323,4198753.498
381375.7524,4198809.637
381381.9002,4198751.963
381419.224,4198834.267
381452.2815,4198897.562
381405.4394,4198989.572
381329.5235,4198920.033
381371.8263,4198848.503
381291.1825,4198901.529
381344.192,4198988.948
381302.6708,4198894.087
381371.1159,4198811.561
381350.5358,4198758.831
381374.5783,4198717.86
381321.0442,4198789.033
381367.4892,4198812.109
381391.532,4198801.381
381307.5341,4198774.529
381340.9298,4198829.963
381393.0189,4198733.343
381355.3866,4198699.401
381338.8436,4198616.782
381244.025,4198541.073
381310.1374,4198604.332
381305.1467,4198544.702
381298.6284,4198561.817
381254.8507,4198576.096
381270.3115,4198530.288
381312.6534,4198496.365
381305.1341,4198536.517
381384.2056,4198533.854
381345.5195,4198494.155
381270.0156,4198574.245
381341.3428,4198509.332
381322.8374,4198557.451
381344.0911,4198615.582
381274.5857,4198706.809
381218.8261,4198777.816
381126.0877,4198752.943
381168.5872,4198692.349
381194.0357,4198678.513
381095.291,4198748.588
381047.3558,4198700.64
380981.5203,4198717.039
380973.6834,4198643.242
380968.9069,4198742.629
380911.0124,4198806.95
380900.299,4198895.278
380822.7489,4198810.582
380869.8896,4198725.717
380880.9324,4198803.079
380882.4298,4198885.133
380964.5686,4198889.219
380993.8615,4198830.249
381035.9081,4198820.463
381037.2187,4198803.621
381053.4182,4198777.077
381102.6883,4198786.142
381033.7738,4198805.585
381005.2111,4198741.054
381019.5353,4198804.291
380989.8834,4198831.537
381087.9835,4198747.672
381171.2178,4198669.98
381138.5903,4198623.277
381206.0406,4198535.597
381255.1451,4198554.868
381293.5158,4198459.205
381255.8111,4198439.54
381328.2113,4198525.641
381245.2844,4198473.654
381294.4735,4198391.848
381297.9637,4198386.877
381370.2992,4198328.355
381353.4738,4198426.474
381266.837,4198377.531
381299.0703,4198309.951
381216.5594,4198319.991
381224.9149,4198301.134
381220.0168,4198344.314
381318.2701,4198267.644
381381.6915,4198347.886
381288.7695,4198447.16
381197.9148,4198483.559
381222.0536,4198401.622
381222.1014,4198378.004
381160.2888,4198470.007
381106.7754,4198456.257
381095.1338,4198517.644
381115.1455,4198591.895
381164.2272,4198647.1
381138.6995,4198739.254
381207.9081,4198652.705
381267.1905,4198719.151
381338.2098,4198789.595
381434.672,4198691.89
382231.5222,4199002.542
382211.5767,4199018.756
382250.6689,4199041.919
382324.8801,4198984.2
382276.8835,4199055.442
382258.3781,4199064.777
382351.8338,4199024.822
382374.8711,4198989.824
382306.0156,4198896.023
382389.4362,4198911.335
382428.925,4198929.361
382401.345,4198843.423
382434.7417,4198778.595
382377.8385,4198741.026
382424.1599,4198788.145
382510.5313,4198848.419
382555.7519,4198804.733
382597.0315,4198832.775
382550.3291,4198744.057
382502.4183,4198746.495
382459.8204,4198798.855
382558.2775,4198885.204
382626.2961,4198825.521
382623.3231,4198810.61
382533.6612,4198903.942
382437.7868,4198965.184
382477.8654,4198903.444
382501.9126,4198849.936
382592.1245,4198771.994
382567.585,4198842.262
382519.6842,4198804.295
382528.098,4198707.673
382595.2186,4198794.781
382631.6228,4198867.266
382562.9861,4198895.606
382482.1473,4198960.992
382548.1487,4198894.084
382536.5062,4198899.547
382630.5418,4198912.901
382634.9802,4198819.35
382680.1397,4198770.784
382720.6163,4198811.265
382652.9494,4198874.435
382657.1934,4198775.772
382571.6666,4198840.235
382603.9495,4198923.451
382575.0029,4198863.58
382585.0723,4198939.916
382561.2691,4198874.918
382473.7151,4198852.968
382510.9491,4198784.417
382476.3326,4198768.782
382485.4923,4198789.946
382497.6653,4198775.382
382506.1236,4198792.394
382511.2205,4198773.781
382438.516,4198685.989
382380.6256,4198743.205
382375.0318,4198750.62
382434.4688,4198794.947
382507.5978,4198828.447
382511.9139,4198765.513
382486.3371,4198783.558
382406.6839,4198818.634
382409.0009,4198777.79
382499.1087,4198877.079
382427.4491,4198823.249
382494.7034,4198810.615
382420.1653,4198821.949
382454.1994,4198910.435
382388.4778,4198815.849
382397.7289,4198736.078
382336.0001,4198716.361
382363.1782,4198810.466
382264.2115,4198808.786
382290.4775,4198823.017
382192.8071,4198909.458
382111.2472,4198841.521
382191.6152,4198803.822
382226.8127,4198783.204
382278.055,4198790.375
382181.0564,4198871.694
382089.1647,4198796.988
382138.2118,4198833.47
382193.241,4198891.752
382112.4666,4198904.061
382152.809,4198982.432
382148.2592,4199020.746
382073.6406,4199029.799
382066.6825,4199130.013
381970.0649,4199180.501
381891.3465,4199115.748
381828.7358,4199142.75
381773.2111,4199138.878
381835.5743,4199087.112
381851.0251,4199081.232
381819.4027,4199062.718
381785.8148,4199036.969
381811.166,4199067.07
382911.9649,4199241.719
382857.2271,4199238.853
382950.5848,4199292.249
382990.63,4199275.694
383079.6367,4199363.843
